127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/css/web2py.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:33:39, GET, /twm/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-11-23 19:33:39, GET, /twm/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:33:39, GET, /twm/static/images/facebook.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-11-23 19:33:39, GET, /twm/static/images/twitter.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-11-23 19:33:39, GET, /twm/static/images/gplus-32.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2013-11-23 19:33:41, GET, /admin/default/design/twm, HTTP/1.1, 200, 0.190000
127.0.0.1, 2013-11-23 19:53:07, GET, /admin/shell/index/twm, HTTP/1.1, 200, 0.077000
127.0.0.1, 2013-11-23 19:53:07, GET, /admin/static/js/autoscroll.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2013-11-23 19:53:09, GET, /admin/default/design/twm, HTTP/1.1, 200, 0.198000
